,Unnamed: 0,Year,Month,U.S. Exports of Finished Petroleum Products Thousand Barrels per Day,U.S. Product Supplied of Finished Motor Gasoline Thousand Barrels,U.S. Crude Oil Production (million barrels per day),U.S. Electricity Consumption (billion kilowatthours per day),U.S. Heating Degree Days (degree days),U.S. Cooling Degree Days (degree days)
175,175,2009,4,1689,270873,5.28,9.17,334,30
176,176,2009,3,1596,275985,5.22,9.49,577,20
177,177,2009,2,1553,247422,5.24,10.57,694,9
178,178,2009,1,1692,267311,5.14,10.71,951,8
179,179,2008,12,1698,276748,5.1,10.29,826,10
180,180,2008,11,1558,267115,5.08,9.61,535,13
181,181,2008,10,1440,279751,4.74,9.76,284,49
182,182,2008,9,1191,254916,3.97,11.07,55,171
183,183,2008,8,1868,283161,5.0,11.74,15,282
184,184,2008,7,1880,283643,5.18,12.03,7,332
185,185,2008,6,1974,273291,5.14,11.33,30,262
186,186,2008,5,1592,286784,5.14,9.65,189,93
187,187,2008,4,1551,273367,5.18,9.62,326,32
188,188,2008,3,1559,281053,5.19,9.86,610,20
189,189,2008,2,1601,257120,5.15,10.89,729,13
190,190,2008,1,1377,273106,5.12,10.91,886,8
191,191,2007,12,1356,286777,5.11,10.27,798,14
192,192,2007,11,1536,276876,5.03,9.88,522,18
193,193,2007,10,1184,286318,5.02,10.27,182,81
194,194,2007,9,1196,277627,4.9,11.6,50,187
195,195,2007,8,1279,297041,4.97,12.42,9,362
196,196,2007,7,1311,298827,5.04,11.73,6,307
197,197,2007,6,1141,284741,5.08,11.11,27,232
198,198,2007,5,1213,292463,5.21,9.78,118,118
199,199,2007,4,1221,276463,5.18,9.51,374,25
200,200,2007,3,1071,284506,5.12,9.73,500,31
201,201,2007,2,1164,252180,5.12,11.1,840,6
202,202,2007,1,1288,275451,5.11,10.53,840,12
203,203,2006,12,1001,289478,5.19,10.08,692,13
204,204,2006,11,1216,277331,5.06,9.63,475,15
205,205,2006,10,1335,287265,5.11,9.8,311,47
206,206,2006,9,1406,277072,5.03,10.98,87,134
207,207,2006,8,1064,296476,5.04,12.32,11,330
208,208,2006,7,1218,297822,5.09,12.12,3,382
209,209,2006,6,1134,284350,5.16,11.13,26,233
210,210,2006,5,1191,288535,5.15,9.66,143,109
211,211,2006,4,1166,274619,5.08,9.32,275,55
212,212,2006,3,1001,280689,5.03,9.74,602,21
213,213,2006,2,1098,249517,5.03,10.44,724,6
214,214,2006,1,910,274021,5.05,10.24,688,14
215,215,2005,12,970,288161,4.99,10.31,863,6
216,216,2005,11,811,273452,4.86,9.53,473,21
217,217,2005,10,734,280121,4.55,9.95,242,56
218,218,2005,9,716,267454,4.21,11.44,43,209
219,219,2005,8,1125,295651,5.2,12.16,8,345
220,220,2005,7,1086,295548,5.25,11.93,4,365
221,221,2005,6,1318,281178,5.44,11.08,31,244
222,222,2005,5,1189,287628,5.6,9.22,192,83
223,223,2005,4,1127,273827,5.56,9.2,314,25
224,224,2005,3,1135,278801,5.6,9.66,647,14
225,225,2005,2,1136,248120,5.5,10.4,673,9
226,226,2005,1,780,273190,5.45,10.39,855,11
227,227,2004,12,1115,285372,5.51,10.15,802,6
228,228,2004,11,855,271654,5.42,9.45,497,19
229,229,2004,10,969,282002,5.17,9.52,259,68
230,230,2004,9,832,270464,5.08,10.75,53,171
231,231,2004,8,981,289125,5.32,11.14,21,248
232,232,2004,7,907,290081,5.48,11.25,9,295
233,233,2004,6,901,279654,5.41,10.73,41,202
234,234,2004,5,924,284562,5.56,9.45,116,135
235,235,2004,4,994,273777,5.56,9.21,311,29
236,236,2004,3,914,279745,5.62,9.42,497,29
237,237,2004,2,922,256288,5.57,10.34,766,8
238,238,2004,1,643,269855,5.58,10.41,968,7
239,239,2003,12,852,279339,5.57,9.94,792,5
240,240,2003,11,824,268366,5.55,9.21,489,23
241,241,2003,10,857,282336,5.61,9.4,266,64
242,242,2003,9,851,267775,5.61,10.68,67,152
243,243,2003,8,852,291755,5.57,11.51,6,335
244,244,2003,7,870,284942,5.5,11.26,5,331
245,245,2003,6,918,275105,5.66,10.15,45,182
246,246,2003,5,952,280294,5.66,9.12,176,108
247,247,2003,4,932,265141,5.73,9.0,360,31
248,248,2003,3,936,266652,5.8,9.3,580,25
249,249,2003,2,888,238713,5.78,10.55,806,9
250,250,2003,1,1028,260819,5.76,10.3,948,5
251,251,2002,12,1076,275695,5.72,9.69,818,6
252,252,2002,11,821,264858,5.62,9.21,567,12
253,253,2002,10,792,273226,5.36,9.6,309,56
254,254,2002,9,829,260596,5.41,10.81,43,195
255,255,2002,8,1013,288688,5.8,11.38,10,322
256,256,2002,7,716,283440,5.75,11.37,4,362
257,257,2002,6,807,274204,5.88,10.35,26,236
258,258,2002,5,769,281433,5.91,9.13,195,90
259,259,2002,4,776,262971,5.84,9.04,296,52
260,260,2002,3,739,268320,5.89,9.07,629,18
261,261,2002,2,1024,240991,5.88,9.88,672,7
262,262,2002,1,755,255039,5.87,9.85,785,10
263,263,2001,12,1024,266139,5.89,9.11,704,12
264,264,2001,11,874,260304,5.88,8.87,411,22
265,265,2001,10,873,268294,5.75,9.08,271,46
266,266,2001,9,753,256718,5.71,10.32,74,138
267,267,2001,8,939,277552,5.73,11.2,7,330
268,268,2001,7,765,279714,5.75,10.65,10,301
269,269,2001,6,861,260694,5.77,10.1,32,218
270,270,2001,5,920,269882,5.83,8.94,123,118
271,271,2001,4,875,257252,5.86,8.9,311,40
272,272,2001,3,831,264496,5.88,9.12,663,13
273,273,2001,2,883,230538,5.78,10.17,720,14
274,274,2001,1,823,251077,5.8,10.49,928,4
275,275,2000,12,943,268765,5.86,9.9,995,5
276,276,2000,11,984,251518,5.83,9.27,617,10
277,277,2000,10,1143,260918,5.81,9.26,252,50
278,278,2000,9,929,255526,5.76,10.59,75,154
279,279,2000,8,943,276540,5.79,11.19,14,300
280,280,2000,7,762,267906,5.74,10.73,14,283
281,281,2000,6,783,264735,5.82,10.46,32,218
282,282,2000,5,717,268482,5.85,9.15,126,135
283,283,2000,4,875,251246,5.85,8.76,346,29
284,284,2000,3,855,257464,5.92,8.91,498,28
285,285,2000,2,728,240439,5.85,9.84,640,11
286,286,2000,1,693,237235,5.78,9.72,883,9
287,287,1999,12,972,274630,5.96,9.17,765,7
288,288,1999,11,774,247203,5.96,8.87,423,19
289,289,1999,10,766,264787,5.95,9.0,279,55
290,290,1999,9,766,249150,5.8,10.3,66,150
291,291,1999,8,677,265964,5.78,10.94,15,300
292,292,1999,7,724,277189,5.8,10.98,7,364
293,293,1999,6,696,266579,5.76,9.96,35,213
294,294,1999,5,747,261008,5.87,8.68,154,95
295,295,1999,4,815,255166,5.89,8.69,333,42
296,296,1999,3,607,251957,5.88,8.84,648,14
297,297,1999,2,534,224868,5.97,9.43,647,12
298,298,1999,1,660,238740,5.96,9.63,857,12
299,299,1998,12,698,261969,6.04,9.07,726,12
300,300,1998,11,614,245001,6.14,8.74,495,22
301,301,1998,10,653,259724,6.14,9.02,254,60
302,302,1998,9,748,249305,5.79,10.37,38,207
303,303,1998,8,641,265623,6.2,10.77,8,332
304,304,1998,7,784,269091,6.19,10.59,5,345
305,305,1998,6,831,255612,6.27,9.9,47,223
306,306,1998,5,823,256650,6.35,8.62,128,135
307,307,1998,4,800,249360,6.48,8.4,344,24
308,308,1998,3,769,248109,6.41,8.6,603,11
309,309,1998,2,674,215908,6.48,9.32,631,7
310,310,1998,1,765,236144,6.54,9.19,769,12
311,311,1997,12,969,250015,6.53,8.94,812,6
312,312,1997,11,793,238939,6.46,8.64,604,11
313,313,1997,10,849,252370,6.47,8.92,284,46
314,314,1997,9,793,240676,6.49,9.73,68,165
315,315,1997,8,889,255227,6.35,9.95,19,263
316,316,1997,7,862,263361,6.41,10.01,10,308
317,317,1997,6,811,248636,6.44,9.14,37,183
318,318,1997,5,785,252308,6.47,8.05,207,82
319,319,1997,4,769,241914,6.44,8.24,417,20
320,320,1997,3,695,241671,6.45,8.26,557,31
321,321,1997,2,683,214691,6.51,9.38,677,12
322,322,1997,1,843,226340,6.4,9.31,935,8
