"STUB_1","11/3/23","10/27/23","Difference","Percent Change","11/4/22","Difference","Percent Change"
"Crude Oil","787.036","773.167","13.868","1.800","836.974","-49.939","-6.000"
"Commercial (Excluding SPR)","435.762","421.893","13.868","3.300","440.755","-4.994","-1.100"
"Strategic Petroleum Reserve (SPR)","351.274","351.274","0.000","0.000","396.219","-44.945","-11.300"
"Total Motor Gasoline","217.210","223.522","-6.311","-2.800","205.733","11.477","5.600"
"Reformulated","0.018","0.018","0.000","0.000","0.023","-0.005","-21.700"
"Conventional","16.816","17.515","-0.699","-4.000","14.403","2.413","16.800"
"Blending Components","200.376","205.988","-5.612","-2.700","191.307","9.069","4.700"
"Fuel Ethanol","20.989","21.012","-0.023","-0.100","22.192","-1.203","-5.400"
"Kerosene-Type Jet Fuel","38.854","40.470","-1.616","-4.000","36.975","1.879","5.100"
"Distillate Fuel Oil","108.001","111.295","-3.295","-3.000","106.263","1.738","1.600"
"15 ppm sulfur and Under","98.334","100.978","-2.644","-2.600","95.895","2.438","2.500"
"> 15 ppm to 500 ppm sulfur","2.158","2.376","-0.218","-9.200","2.547","-0.390","-15.300"
"> 500 ppm sulfur","7.510","7.942","-0.432","-5.400","7.821","-0.311","-4.000"
"Residual Fuel Oil","27.594","27.460","0.135","0.500","30.308","-2.713","-9.000"
"Propane/Propylene","98.448","101.199","-2.751","-2.700","87.740","10.708","12.200"
"Other Oils","316.868","315.712","1.156","0.400","293.319","23.549","8.000"
"Unfinished Oils","89.626","86.679","2.946","3.400","84.603","5.023","5.900"
"Total Stocks (Including SPR)","1,615.000","1,613.836","1.164","0.100","1,619.505","-4.505","-0.300"
"Total Stocks (Excluding SPR)","1,263.726","1,262.562","1.164","0.100","1,223.286","40.440","3.300"
"STUB_1","STUB_2","11/3/23","10/27/23","Difference","11/4/22","Difference","11/3/23","11/4/22","Percent Change","11/3/23","11/4/22","Percent Change"
"Crude Oil Supply ","(1)     Domestic Production","13,200","13,200","0","12,100","1,100","13,200","12,000","10.0","12,481","11,887","5.0"
"Crude Oil Supply ","(2)        Alaska","436","433","3","446","-10","429","433","-0.9","426","437","-2.5"
"Crude Oil Supply ","(3)        Lower 48","12,800","12,800","0","11,700","1,100","12,800","11,600","10.3","12,070","11,471","5.2"
"Crude Oil Supply ","(4)     Net Imports (Including SPR)","1,869","1,528","341","2,933","-1,064","1,304","2,009","-35.1","2,320","2,894","-19.8"
"Crude Oil Supply ","(5)        Imports","6,394","6,425","-31","6,454","-60","6,193","6,187","0.1","6,491","6,327","2.6"
"Crude Oil Supply ","(6)            Commercial Crude Oil","6,394","6,425","-31","6,454","-60","6,193","6,187","0.1","6,491","6,327","2.6"
"Crude Oil Supply ","(7)            Imports by SPR","0","0","0","0","0","0","0","0.0","0","0","0.0"
"Crude Oil Supply ","(8)            Imports into SPR by Others","0","0","0","0","0","0","0","0.0","0","0","0.0"
"Crude Oil Supply ","(9)        Exports","4,525","4,897","-372","3,521","1,004","4,889","4,178","17.0","4,170","3,433","21.5"
"Crude Oil Supply ","(10)   Stock Change (+/build; -/draw)","1,981","111","1,871","50","1,931","412","-386","– –","-37","-566","– –"
"Crude Oil Supply ","(11)       Commercial Stock Change","1,981","111","1,871","561","1,420","412","60","– –","32","77","– –"
"Crude Oil Supply ","(12)       SPR Stock Change","0","0","0","-510","510","0","-446","– –","-68","-643","– –"
"Crude Oil Supply ","(13)   Adjustment","2,147","634","1,513","1,106","1,041","1,175","1,335","– –","1,002","539","– –"
"Crude Oil Supply ","(14)   Crude Oil Input to Refineries","15,235","15,251","-16","16,089","-854","15,268","15,729","-2.9","15,840","15,886","-0.3"
"Other Supply ","(15)   Production","8,739","8,750","-11","8,317","422","8,741","8,370","4.4","8,433","8,002","5.4"
"Other Supply ","(16)      Natural Gas Plant Liquids","6,445","6,445","0","6,031","415","6,445","6,116","5.4","6,144","5,807","5.8"
"Other Supply ","(17)      Renewable Fuels/Oxygenate Plant","1,322","1,332","-10","1,254","68","1,322","1,244","6.3","1,271","1,191","6.7"
"Other Supply ","(18)           Fuel Ethanol","1,042","1,052","-10","1,051","-9","1,042","1,035","0.7","1,018","1,005","1.3"
"Other Supply ","(19)          Other","280","280","0","203","76","280","209","33.7","252","186","35.5"
"Other Supply ","(20)      Refinery Processing Gain","972","973","-1","1,032","-61","974","1,010","-3.6","1,018","1,004","1.4"
"Other Supply ","(21)   Net Imports","-4,296","-4,908","612","-4,038","-258","-4,262","-3,812","– –","-4,150","-3,786","– –"
"Other Supply ","(22)      Imports","1,901","1,481","420","2,133","-232","1,728","2,021","-14.5","2,030","2,054","-1.2"
"Other Supply ","(23)      Exports","6,197","6,389","-192","6,171","26","5,990","5,834","2.7","6,180","5,840","5.8"
"Other Supply ","(24)   Stock Change (+/build; -/draw)","-1,815","-546","-1,269","-677","-1,138","-921","-264","– –","138","18","– –"
"Other Supply ","(25)   Adjustment","229","229","0","222","7","229","223","– –","214","222","– –"
"Products Supplied ","(26)   Total","21,722","19,869","1,853","21,267","455","20,898","20,774","0.6","20,198","20,306","-0.5"
"Products Supplied ","(27)     Finished Motor Gasoline","9,492","8,697","796","9,011","481","8,999","8,820","2.0","8,856","8,745","1.3"
"Products Supplied ","(28)     Kerosene-Type Jet Fuel","1,821","1,712","110","1,547","274","1,682","1,487","13.1","1,617","1,537","5.2"
"Products Supplied ","(29)     Distillate Fuel Oil","4,298","3,682","616","4,161","137","4,116","4,092","0.6","3,812","3,952","-3.5"
"Products Supplied ","(30)     Residual Fuel Oil","228","236","-8","342","-114","267","289","-7.5","229","337","-31.9"
"Products Supplied ","(31)     Propane/Propylene","1,291","937","354","1,205","86","1,137","1,111","2.3","963","1,122","-14.1"
"Products Supplied ","(32)     Other Oils","4,591","4,605","-14","5,000","-409","4,697","4,975","-5.6","4,720","4,614","2.3"
"Net Imports of Crude and Petroleum Products ","(33)   Total","-2,427","-3,380","953","-1,105","-1,322","-2,957","-1,804","64.0","-1,830","-892","105.1"
