"STUB_1","10/20/23","10/13/23","Difference","Percent Change","10/21/22","Difference","Percent Change"
"Crude Oil","772.394","771.022","1.371","0.200","841.663","-69.270","-8.200"
"Commercial (Excluding SPR)","421.120","419.748","1.371","0.300","439.945","-18.826","-4.300"
"Strategic Petroleum Reserve (SPR)","351.274","351.274","0.000","0.000","401.718","-50.444","-12.600"
"Total Motor Gasoline","223.457","223.301","0.156","0.100","207.890","15.567","7.500"
"Reformulated","0.019","0.019","0.000","0.000","0.029","-0.010","-34.500"
"Conventional","17.396","15.925","1.471","9.200","14.404","2.992","20.800"
"Blending Components","206.042","207.357","-1.315","-0.600","193.457","12.585","6.500"
"Fuel Ethanol","21.398","21.112","0.286","1.400","22.291","-0.893","-4.000"
"Kerosene-Type Jet Fuel","41.769","43.061","-1.292","-3.000","36.057","5.712","15.800"
"Distillate Fuel Oil","112.087","113.773","-1.686","-1.500","106.357","5.730","5.400"
"15 ppm sulfur and Under","102.174","103.826","-1.652","-1.600","95.352","6.823","7.200"
"> 15 ppm to 500 ppm sulfur","2.274","2.272","0.003","0.100","2.585","-0.311","-12.000"
"> 500 ppm sulfur","7.638","7.675","-0.037","-0.500","8.420","-0.782","-9.300"
"Residual Fuel Oil","27.350","26.790","0.560","2.100","30.017","-2.668","-8.900"
"Propane/Propylene","102.431","102.320","0.111","0.100","86.817","15.614","18.000"
"Other Oils","316.003","316.001","0.002","0.000","295.438","20.564","7.000"
"Unfinished Oils","84.316","85.031","-0.715","-0.800","83.500","0.816","1.000"
"Total Stocks (Including SPR)","1,616.887","1,617.380","-0.493","0.000","1,626.530","-9.643","-0.600"
"Total Stocks (Excluding SPR)","1,265.613","1,266.106","-0.493","0.000","1,224.812","40.801","3.300"
"STUB_1","STUB_2","10/20/23","10/13/23","Difference","10/21/22","Difference","10/20/23","10/21/22","Percent Change","10/20/23","10/21/22","Percent Change"
"Crude Oil Supply ","(1)     Domestic Production","13,200","13,200","0","12,000","1,200","13,125","11,975","9.6","12,447","11,882","4.8"
"Crude Oil Supply ","(2)        Alaska","430","417","13","431","-1","421","427","-1.3","426","437","-2.5"
"Crude Oil Supply ","(3)        Lower 48","12,800","12,800","0","11,600","1,200","12,725","11,575","9.9","12,035","11,465","5.0"
"Crude Oil Supply ","(4)     Net Imports (Including SPR)","1,180","641","539","1,051","128","1,585","1,852","-14.4","2,350","2,908","-19.2"
"Crude Oil Supply ","(5)        Imports","6,013","5,942","71","6,180","-168","6,124","6,025","1.7","6,494","6,327","2.6"
"Crude Oil Supply ","(6)            Commercial Crude Oil","6,013","5,942","71","6,180","-168","6,124","6,025","1.7","6,494","6,327","2.6"
"Crude Oil Supply ","(7)            Imports by SPR","0","0","0","0","0","0","0","0.0","0","0","0.0"
"Crude Oil Supply ","(8)            Imports into SPR by Others","0","0","0","0","0","0","0","0.0","0","0","0.0"
"Crude Oil Supply ","(9)        Exports","4,833","5,301","-468","5,129","-296","4,539","4,173","8.8","4,144","3,419","21.2"
"Crude Oil Supply ","(10)   Stock Change (+/build; -/draw)","196","-642","837","-118","314","183","-410","– –","-88","-577","– –"
"Crude Oil Supply ","(11)       Commercial Stock Change","196","-642","837","370","-174","173","335","– –","-17","78","– –"
"Crude Oil Supply ","(12)       SPR Stock Change","0","0","0","-488","488","11","-745","– –","-71","-655","– –"
"Crude Oil Supply ","(13)   Adjustment","1,006","914","92","2,266","-1,261","820","1,420","– –","983","516","– –"
"Crude Oil Supply ","(14)   Crude Oil Input to Refineries","15,189","15,396","-206","15,436","-247","15,348","15,658","-2.0","15,868","15,883","-0.1"
"Other Supply ","(15)   Production","8,734","8,742","-8","8,380","354","8,754","8,283","5.7","8,418","7,985","5.4"
"Other Supply ","(16)      Natural Gas Plant Liquids","6,445","6,445","0","6,144","301","6,466","6,104","5.9","6,130","5,793","5.8"
"Other Supply ","(17)      Renewable Fuels/Oxygenate Plant","1,319","1,315","5","1,244","76","1,308","1,176","11.2","1,268","1,188","6.7"
"Other Supply ","(18)           Fuel Ethanol","1,040","1,035","5","1,033","7","1,022","967","5.7","1,017","1,003","1.4"
"Other Supply ","(19)          Other","280","280","0","211","68","287","209","36.9","251","185","35.5"
"Other Supply ","(20)      Refinery Processing Gain","969","982","-13","992","-23","979","1,003","-2.4","1,020","1,003","1.7"
"Other Supply ","(21)   Net Imports","-4,316","-3,526","-790","-4,058","-258","-4,348","-4,360","– –","-4,128","-3,784","– –"
"Other Supply ","(22)      Imports","1,703","1,829","-126","2,239","-536","1,886","1,826","3.3","2,046","2,056","-0.5"
"Other Supply ","(23)      Exports","6,019","5,355","664","6,297","-278","6,234","6,186","0.8","6,175","5,840","5.7"
"Other Supply ","(24)   Stock Change (+/build; -/draw)","-266","-1,056","790","-606","339","-224","-555","– –","202","27","– –"
"Other Supply ","(25)   Adjustment","229","229","0","224","5","228","226","– –","213","222","– –"
"Products Supplied ","(26)   Total","20,102","21,897","-1,795","20,587","-485","20,205","20,363","-0.8","20,170","20,279","-0.5"
"Products Supplied ","(27)     Finished Motor Gasoline","8,864","8,943","-80","8,930","-67","8,600","8,837","-2.7","8,845","8,740","1.2"
"Products Supplied ","(28)     Kerosene-Type Jet Fuel","1,726","1,469","257","1,682","44","1,599","1,523","5.0","1,610","1,542","4.4"
"Products Supplied ","(29)     Distillate Fuel Oil","4,069","4,416","-347","3,878","191","3,992","4,106","-2.8","3,804","3,940","-3.5"
"Products Supplied ","(30)     Residual Fuel Oil","264","341","-77","170","94","300","263","13.9","229","338","-32.3"
"Products Supplied ","(31)     Propane/Propylene","826","1,493","-668","720","106","908","1,008","-9.9","956","1,122","-14.8"
"Products Supplied ","(32)     Other Oils","4,355","5,235","-880","5,208","-853","4,807","4,626","3.9","4,726","4,597","2.8"
"Net Imports of Crude and Petroleum Products ","(33)   Total","-3,136","-2,885","-251","-3,007","-130","-2,763","-2,508","10.2","-1,778","-875","103.1"
