Date	Value
August 31, 2023, 27.60T
July 31, 2023,	27.37T
June 30, 2023,	27.17T
May 31, 2023,	27.08T
April 30, 2023,	26.94T
March 31, 2023,	26.88T
February 28, 2023,	26.83T
January 31, 2023,	26.73T
December 31, 2022,	26.47T
November 30, 2022,	26.46T
October 31, 2022,	26.29T
September 30, 2022,	26.10T
August 31, 2022,	26.13T
July 31, 2022,	25.75T
June 30, 2022,	25.79T
May 31, 2022,	25.55T
April 30, 2022,	25.29T
March 31, 2022,	25.21T
February 28, 2022,	25.01T
January 31, 2022,	24.86T
December 31, 2021,	24.93T
November 30, 2021,	24.58T
October 31, 2021,	24.45T
September 30, 2021,	24.01T
August 31, 2021,	23.82T
July 31, 2021,	23.66T
June 30, 2021,	23.47T
May 31, 2021,	23.29T
April 30, 2021,	23.12T
March 31, 2021,	22.93T
February 28, 2021,	22.34T
January 31, 2021,	22.53T
December 31, 2020,	22.13T
November 30, 2020,	21.90T
October 31, 2020,	22.05T
September 30, 2020,	21.91T
August 31, 2020,	21.63T
July 31, 2020,	21.40T
June 30, 2020,	20.98T
May 31, 2020,	19.82T
April 30, 2020,	18.94T
March 31, 2020,	20.98T
February 29, 2020,	22.12T
January 31, 2020,	22.02T
December 31, 2019,	21.99T
November 30, 2019,	21.94T
October 31, 2019,	21.77T
September 30, 2019,	21.75T
August 31, 2019,	21.69T
July 31, 2019,	21.64T